rand_order,run_index,date,operator,body_h_cm,step_len_cm,speed_cm_per_s,speed_m_per_s,foot_lift_cm,distance_m,time_s,avg_voltage_V,avg_current_A,energy_Wh,avg_power_W,CoT,Wh_per_m,SOC_start_percent,SOC_end_percent,temp_C,notes,replicate,unique_id
1,28,,,25,30,30,0.3,8,,,,,,,,,,,,,1,28_1
1,28,,,25,30,30,0.3,8,,,,,,,,,,,,,2,28_2
1,28,,,25,30,30,0.3,8,,,,,,,,,,,,,3,28_3
2,41,,,30,30,5,0.05,8,,,,,,,,,,,,,1,41_1
2,41,,,30,30,5,0.05,8,,,,,,,,,,,,,2,41_2
2,41,,,30,30,5,0.05,8,,,,,,,,,,,,,3,41_3
3,27,,,25,30,20,0.2,8,,,,,,,,,,,,,1,27_1
3,27,,,25,30,20,0.2,8,,,,,,,,,,,,,2,27_2
3,27,,,25,30,20,0.2,8,,,,,,,,,,,,,3,27_3
4,44,,,30,30,30,0.3,8,,,,,,,,,,,,,1,44_1
4,44,,,30,30,30,0.3,8,,,,,,,,,,,,,2,44_2
4,44,,,30,30,30,0.3,8,,,,,,,,,,,,,3,44_3
5,25,,,25,30,5,0.05,8,,,,,,,,,,,,,1,25_1
5,25,,,25,30,5,0.05,8,,,,,,,,,,,,,2,25_2
5,25,,,25,30,5,0.05,8,,,,,,,,,,,,,3,25_3
6,38,,,30,20,10,0.1,8,,,,,,,,,,,,,1,38_1
6,38,,,30,20,10,0.1,8,,,,,,,,,,,,,2,38_2
6,38,,,30,20,10,0.1,8,,,,,,,,,,,,,3,38_3
7,13,,,20,40,5,0.05,8,,,,,,,,,,,,,1,13_1
7,13,,,20,40,5,0.05,8,,,,,,,,,,,,,2,13_2
7,13,,,20,40,5,0.05,8,,,,,,,,,,,,,3,13_3
8,20,,,25,15,30,0.3,8,,,,,,,,,,,,,1,20_1
8,20,,,25,15,30,0.3,8,,,,,,,,,,,,,2,20_2
8,20,,,25,15,30,0.3,8,,,,,,,,,,,,,3,20_3
9,5,,,20,20,5,0.05,8,,,,,,,,,,,,,1,5_1
9,5,,,20,20,5,0.05,8,,,,,,,,,,,,,2,5_2
9,5,,,20,20,5,0.05,8,,,,,,,,,,,,,3,5_3
10,26,,,25,30,10,0.1,8,,,,,,,,,,,,,1,26_1
10,26,,,25,30,10,0.1,8,,,,,,,,,,,,,2,26_2
10,26,,,25,30,10,0.1,8,,,,,,,,,,,,,3,26_3
11,9,,,20,30,5,0.05,8,,,,,,,,,,,,,1,9_1
11,9,,,20,30,5,0.05,8,,,,,,,,,,,,,2,9_2
11,9,,,20,30,5,0.05,8,,,,,,,,,,,,,3,9_3
12,4,,,20,15,30,0.3,8,,,,,,,,,,,,,1,4_1
12,4,,,20,15,30,0.3,8,,,,,,,,,,,,,2,4_2
12,4,,,20,15,30,0.3,8,,,,,,,,,,,,,3,4_3
13,7,,,20,20,20,0.2,8,,,,,,,,,,,,,1,7_1
13,7,,,20,20,20,0.2,8,,,,,,,,,,,,,2,7_2
13,7,,,20,20,20,0.2,8,,,,,,,,,,,,,3,7_3
14,40,,,30,20,30,0.3,8,,,,,,,,,,,,,1,40_1
14,40,,,30,20,30,0.3,8,,,,,,,,,,,,,2,40_2
14,40,,,30,20,30,0.3,8,,,,,,,,,,,,,3,40_3
15,34,,,30,15,10,0.1,8,,,,,,,,,,,,,1,34_1
15,34,,,30,15,10,0.1,8,,,,,,,,,,,,,2,34_2
15,34,,,30,15,10,0.1,8,,,,,,,,,,,,,3,34_3
16,14,,,20,40,10,0.1,8,,,,,,,,,,,,,1,14_1
16,14,,,20,40,10,0.1,8,,,,,,,,,,,,,2,14_2
16,14,,,20,40,10,0.1,8,,,,,,,,,,,,,3,14_3
17,18,,,25,15,10,0.1,8,,,,,,,,,,,,,1,18_1
17,18,,,25,15,10,0.1,8,,,,,,,,,,,,,2,18_2
17,18,,,25,15,10,0.1,8,,,,,,,,,,,,,3,18_3
18,46,,,30,40,10,0.1,8,,,,,,,,,,,,,1,46_1
18,46,,,30,40,10,0.1,8,,,,,,,,,,,,,2,46_2
18,46,,,30,40,10,0.1,8,,,,,,,,,,,,,3,46_3
19,16,,,20,40,30,0.3,8,,,,,,,,,,,,,1,16_1
19,16,,,20,40,30,0.3,8,,,,,,,,,,,,,2,16_2
19,16,,,20,40,30,0.3,8,,,,,,,,,,,,,3,16_3
20,10,,,20,30,10,0.1,8,,,,,,,,,,,,,1,10_1
20,10,,,20,30,10,0.1,8,,,,,,,,,,,,,2,10_2
20,10,,,20,30,10,0.1,8,,,,,,,,,,,,,3,10_3
21,17,,,25,15,5,0.05,8,,,,,,,,,,,,,1,17_1
21,17,,,25,15,5,0.05,8,,,,,,,,,,,,,2,17_2
21,17,,,25,15,5,0.05,8,,,,,,,,,,,,,3,17_3
22,30,,,25,40,10,0.1,8,,,,,,,,,,,,,1,30_1
22,30,,,25,40,10,0.1,8,,,,,,,,,,,,,2,30_2
22,30,,,25,40,10,0.1,8,,,,,,,,,,,,,3,30_3
23,33,,,30,15,5,0.05,8,,,,,,,,,,,,,1,33_1
23,33,,,30,15,5,0.05,8,,,,,,,,,,,,,2,33_2
23,33,,,30,15,5,0.05,8,,,,,,,,,,,,,3,33_3
24,47,,,30,40,20,0.2,8,,,,,,,,,,,,,1,47_1
24,47,,,30,40,20,0.2,8,,,,,,,,,,,,,2,47_2
24,47,,,30,40,20,0.2,8,,,,,,,,,,,,,3,47_3
25,1,,,20,15,5,0.05,8,,,,,,,,,,,,,1,1_1
25,1,,,20,15,5,0.05,8,,,,,,,,,,,,,2,1_2
25,1,,,20,15,5,0.05,8,,,,,,,,,,,,,3,1_3
26,32,,,25,40,30,0.3,8,,,,,,,,,,,,,1,32_1
26,32,,,25,40,30,0.3,8,,,,,,,,,,,,,2,32_2
26,32,,,25,40,30,0.3,8,,,,,,,,,,,,,3,32_3
27,31,,,25,40,20,0.2,8,,,,,,,,,,,,,1,31_1
27,31,,,25,40,20,0.2,8,,,,,,,,,,,,,2,31_2
27,31,,,25,40,20,0.2,8,,,,,,,,,,,,,3,31_3
28,6,,,20,20,10,0.1,8,,,,,,,,,,,,,1,6_1
28,6,,,20,20,10,0.1,8,,,,,,,,,,,,,2,6_2
28,6,,,20,20,10,0.1,8,,,,,,,,,,,,,3,6_3
29,12,,,20,30,30,0.3,8,,,,,,,,,,,,,1,12_1
29,12,,,20,30,30,0.3,8,,,,,,,,,,,,,2,12_2
29,12,,,20,30,30,0.3,8,,,,,,,,,,,,,3,12_3
30,35,,,30,15,20,0.2,8,,,,,,,,,,,,,1,35_1
30,35,,,30,15,20,0.2,8,,,,,,,,,,,,,2,35_2
30,35,,,30,15,20,0.2,8,,,,,,,,,,,,,3,35_3
31,2,,,20,15,10,0.1,8,,,,,,,,,,,,,1,2_1
31,2,,,20,15,10,0.1,8,,,,,,,,,,,,,2,2_2
31,2,,,20,15,10,0.1,8,,,,,,,,,,,,,3,2_3
32,45,,,30,40,5,0.05,8,,,,,,,,,,,,,1,45_1
32,45,,,30,40,5,0.05,8,,,,,,,,,,,,,2,45_2
32,45,,,30,40,5,0.05,8,,,,,,,,,,,,,3,45_3
33,22,,,25,20,10,0.1,8,,,,,,,,,,,,,1,22_1
33,22,,,25,20,10,0.1,8,,,,,,,,,,,,,2,22_2
33,22,,,25,20,10,0.1,8,,,,,,,,,,,,,3,22_3
34,3,,,20,15,20,0.2,8,,,,,,,,,,,,,1,3_1
34,3,,,20,15,20,0.2,8,,,,,,,,,,,,,2,3_2
34,3,,,20,15,20,0.2,8,,,,,,,,,,,,,3,3_3
35,37,,,30,20,5,0.05,8,,,,,,,,,,,,,1,37_1
35,37,,,30,20,5,0.05,8,,,,,,,,,,,,,2,37_2
35,37,,,30,20,5,0.05,8,,,,,,,,,,,,,3,37_3
36,36,,,30,15,30,0.3,8,,,,,,,,,,,,,1,36_1
36,36,,,30,15,30,0.3,8,,,,,,,,,,,,,2,36_2
36,36,,,30,15,30,0.3,8,,,,,,,,,,,,,3,36_3
37,24,,,25,20,30,0.3,8,,,,,,,,,,,,,1,24_1
37,24,,,25,20,30,0.3,8,,,,,,,,,,,,,2,24_2
37,24,,,25,20,30,0.3,8,,,,,,,,,,,,,3,24_3
38,42,,,30,30,10,0.1,8,,,,,,,,,,,,,1,42_1
38,42,,,30,30,10,0.1,8,,,,,,,,,,,,,2,42_2
38,42,,,30,30,10,0.1,8,,,,,,,,,,,,,3,42_3
39,11,,,20,30,20,0.2,8,,,,,,,,,,,,,1,11_1
39,11,,,20,30,20,0.2,8,,,,,,,,,,,,,2,11_2
39,11,,,20,30,20,0.2,8,,,,,,,,,,,,,3,11_3
40,23,,,25,20,20,0.2,8,,,,,,,,,,,,,1,23_1
40,23,,,25,20,20,0.2,8,,,,,,,,,,,,,2,23_2
40,23,,,25,20,20,0.2,8,,,,,,,,,,,,,3,23_3
41,19,,,25,15,20,0.2,8,,,,,,,,,,,,,1,19_1
41,19,,,25,15,20,0.2,8,,,,,,,,,,,,,2,19_2
41,19,,,25,15,20,0.2,8,,,,,,,,,,,,,3,19_3
42,48,,,30,40,30,0.3,8,,,,,,,,,,,,,1,48_1
42,48,,,30,40,30,0.3,8,,,,,,,,,,,,,2,48_2
42,48,,,30,40,30,0.3,8,,,,,,,,,,,,,3,48_3
43,21,,,25,20,5,0.05,8,,,,,,,,,,,,,1,21_1
43,21,,,25,20,5,0.05,8,,,,,,,,,,,,,2,21_2
43,21,,,25,20,5,0.05,8,,,,,,,,,,,,,3,21_3
44,8,,,20,20,30,0.3,8,,,,,,,,,,,,,1,8_1
44,8,,,20,20,30,0.3,8,,,,,,,,,,,,,2,8_2
44,8,,,20,20,30,0.3,8,,,,,,,,,,,,,3,8_3
45,43,,,30,30,20,0.2,8,,,,,,,,,,,,,1,43_1
45,43,,,30,30,20,0.2,8,,,,,,,,,,,,,2,43_2
45,43,,,30,30,20,0.2,8,,,,,,,,,,,,,3,43_3
46,15,,,20,40,20,0.2,8,,,,,,,,,,,,,1,15_1
46,15,,,20,40,20,0.2,8,,,,,,,,,,,,,2,15_2
46,15,,,20,40,20,0.2,8,,,,,,,,,,,,,3,15_3
47,29,,,25,40,5,0.05,8,,,,,,,,,,,,,1,29_1
47,29,,,25,40,5,0.05,8,,,,,,,,,,,,,2,29_2
47,29,,,25,40,5,0.05,8,,,,,,,,,,,,,3,29_3
48,39,,,30,20,20,0.2,8,,,,,,,,,,,,,1,39_1
48,39,,,30,20,20,0.2,8,,,,,,,,,,,,,2,39_2
48,39,,,30,20,20,0.2,8,,,,,,,,,,,,,3,39_3
